"filename", "language", "JavaScript", "Python", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\et118\Programming\Gymnasieprojekt\V1\Camera.js", "JavaScript", 43, 0, 0, 0, 0, 6, 9, 58
"c:\Users\et118\Programming\Gymnasieprojekt\V1\CelestialBody.js", "JavaScript", 98, 0, 0, 0, 0, 6, 11, 115
"c:\Users\et118\Programming\Gymnasieprojekt\V1\SolarSystem.js", "JavaScript", 44, 0, 0, 0, 0, 19, 5, 68
"c:\Users\et118\Programming\Gymnasieprojekt\V1\custom-addons\OrbitControls.js", "JavaScript", 794, 0, 0, 0, 0, 83, 665, 1542
"c:\Users\et118\Programming\Gymnasieprojekt\V1\exportCelestialBodies.py", "Python", 0, 323, 0, 0, 0, 14, 12, 349
"c:\Users\et118\Programming\Gymnasieprojekt\V1\index.html", "HTML", 0, 0, 0, 0, 104, 0, 13, 117
"c:\Users\et118\Programming\Gymnasieprojekt\V1\main.js", "JavaScript", 222, 0, 0, 0, 0, 12, 27, 261
"c:\Users\et118\Programming\Gymnasieprojekt\V1\moons.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\et118\Programming\Gymnasieprojekt\V1\notes.md", "Markdown", 0, 0, 0, 14, 0, 0, 11, 25
"c:\Users\et118\Programming\Gymnasieprojekt\V1\orbits.json", "JSON", 0, 0, 2, 0, 0, 0, 1, 3
"c:\Users\et118\Programming\Gymnasieprojekt\V1\simulationWorker.js", "JavaScript", 73, 0, 0, 0, 0, 4, 9, 86
"c:\Users\et118\Programming\Gymnasieprojekt\V1\test.py", "Python", 0, 27, 0, 0, 0, 4, 10, 41
"Total", "-", 1274, 350, 3, 14, 104, 148, 773, 2666
